NS 100
ROOT 0100
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0104
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0106
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0108
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0120
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0122
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0126
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0128
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0140
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0142
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0144
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0148
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0160
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0162
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0164
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0166
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0182
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0184
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0186
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0188
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0300
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0304
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0306
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0308
UHF 1,4,4,2
LHF 6,-4,-4,1
PHF -12,5,1,-2
ROOT 0320
