NS 100
ROOT 0037
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0048
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0073
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0084
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0136
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0138
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0145
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0154
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0163
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0183
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0215
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0217
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0226
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0251
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0259
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0262
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0271
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0279
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0295
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0297
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0338
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0358
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0367
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0376
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0378
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0383
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0385
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0387
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0538
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0547
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0574
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0583
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0648
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0684
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0747
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0774
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0837
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 0873
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1205
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1207
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1250
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1269
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1270
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1296
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1357
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1368
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1375
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1386
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1438
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1447
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1474
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 1483
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2206
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2259
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2260
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2279
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2295
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2297
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2358
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2367
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2376
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2378
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2385
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2387
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2437
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2448
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2473
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 2484
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3007
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3070
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3089
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3098
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3106
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3108
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3159
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3160
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3180
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3195
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3308
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3380
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3418
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3427
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3472
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3481
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3489
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3498
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3508
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3579
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3580
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3597
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3689
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3698
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3807
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3870
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3979
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 3997
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 4008
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 4079
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 4080
UHF 3,9,3,3
LHF 0,-4,-1,-1
PHF 1,-6,2,-8
ROOT 4097
UHF 3,9,3,3
